Item Name,Category,desc,qty,weight,unit,url,price,worn,consumable
Osprey Atmos 50 Test (Medium),Packing,,1,4.6,pound,https://www.osprey.com/us/en/product/atmos-ag-65-ATMOS65S22.html,340,,
Plastic Bag,Packing,,4,6,gram,,1,,
Ziplock Bag,Packing,,3,0.2,ounce,,1,,
Big Agnes Copper Spur HV UL 2 Tent,Shelter,,1,3.02,pound,https://www.bigagnes.com/products/copper-spur-hv-ul2,549,,
Marmot EcoPro 30 (Regular) Sleeping Bag,Sleeping,,1,2.38,pound,https://www.backpacker.com/gear-item/marmot-ecopro-30-2/,159,,
NeoAir® XTherm™ NXT Sleeping Pad,Sleeping,,1,16,ounce,https://www.thermarest.com/sleeping-pads/fast-and-light/neoair-xtherm-nxt-sleeping-pad/neoair-xtherm-nxt.html,239,,
Thermolite Reactor+ Compact Sleeping Bag Liner,Sleeping,,1,8.1,ounce,https://www.rei.com/product/705534/sea-to-summit-thermolite-reactor-sleeping-bag-liner,85,,
Bana UPF-35 National Forest Map Gaiter,Clothing (Worn),,1,1.2,ounce,https://shop.usparkpass.com/products/national-park-map-bana-headwear,13.49,Worn,
Backcountry UPF-50 Hoodie (Green),Clothing (Worn),,1,7.2,ounce,https://www.backcountry.com/backcountry-tahoe-sun-hoodie-mens,50,Worn,
Outdoor Afro UPF-30 Shirt (Yellow),Clothing (Worn),Yellow Sunshirt,1,4.5,ounce,https://www.rei.com/product/209549/outdoor-afro-rei-co-op-trail-t-shirt-mens,39,Worn,
Coumbia SilverRidge UPF-50 Convertible Pant,Clothing (Worn),,1,10,ounce,https://www.columbia.com/p/mens-silver-ridge-utility-convertible-pant---big-2012963.html?dwvar_2012963_color=257,52,Worn,
Underwear,Clothing (Worn),,1,1.3,ounce,,24,Worn,
Merino Wool Socks,Clothing (Worn),,1,4,ounce,https://www.rei.com/product/154491/darn-tough-light-hiker-micro-crew-socks-mens,24,Worn,
Vasque Hiking Boots,Clothing (Worn),,1,2.56,pound,https://www.rei.com/product/224189/vasque-talus-xt-gtx-mid-hiking-boots-mens,141,Worn,
Orange Gnome Hat,Clothing (Worn),,1,2.4,ounce,,0,Worn,
Colter Co. Star Chart Bandanna,Clothing (Carried),,1,1.2,ounce,https://www.amazon.com/Chart-Survival-Bandana-Cotton-Constellation/dp/B01C7X084K/ref=sxin_16_pa_sp_search_thematic_sspa?content-id=amzn1.sym.be57e669-1f8d-446a-b360-3809a4aefa67%3Aamzn1.sym.be57e669-1f8d-446a-b360-3809a4aefa67&cv_ct_cx=bug+off+bandanna&keywords=bug+off+bandanna&pd_rd_i=B01C7X084K&pd_rd_r=648732ee-f4db-4b10-ae88-c37e7c4c126b&pd_rd_w=c3vms&pd_rd_wg=YPikZ&pf_rd_p=be57e669-1f8d-446a-b360-3809a4aefa67&pf_rd_r=F00HSSXGNMCQGKYJ8R7V&qid=1691085939&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-2-183302c6-8dec-4386-8e58-6031e7be5ad8-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM&psc=1,13.75,,
Marmot Precip Jacket (M),Clothing (Carried),,1,11,ounce,https://www.rei.com/product/224173/marmot-mitre-peak-jacket-mens,90,,
Patagonia NanoPuff Jacket,Clothing (Carried),Green Coat,1,13.1,ounce,https://www.patagonia.com/product/mens-nano-puff-jacket/84212.html?dwvar_84212_color=STGN&cgid=mens-jackets-vests-lightweight,239,,
Odlo EcoWarm Baselayer Thermal,Clothing (Carried),,1,8,ounce,https://www.odlo.com/us/en/the-men%27s-active-warm-eco-base-layer-top-with-facemask-159142.html?dwvar_159142_color=15000&cgid=men-sporting-activity-ski-snowboard,70,,
Columbia OmniCool UPF-30 Shirt (Orange),Clothing (Carried),Orange Sunshirt,1,5,ounce,https://www.columbia.com/p/mens-zero-ice-cirro-cool-short-sleeve-shirt-1931291.html?dwvar_1931291_color=491,30,,
Columbia SilverRidge UPF-50 Pant,Clothing (Carried),Blue Pants,1,10,ounce,https://www.columbia.com/p/mens-silver-ridge-utility-pants-2012951.html?dwvar_2012951_color=271,45,,
Underwear,Clothing (Carried),,1,1.3,ounce,,24,,
Merino Wool Socks,Clothing (Carried),,1,4,ounce,https://www.rei.com/product/154491/darn-tough-light-hiker-micro-crew-socks-mens,24,,
Rainbow Sandals (S),Clothing (Carried),,1,11,ounce,https://www.rainbowsandals.com/product/301BLUE0_MENS,59.99,,
Black Diamond Pursuit Shock-Absorbing Trekking Poles,Tools,,1,1.1,pound,https://www.blackdiamondequipment.com/en_US/product/pursuit-shock-trekking-poles/?colorid=12836,189,,
Garmin inReach Explorer+,Tools,,1,7.5,ounce,https://www.garmin.com/en-US/p/561269,449,,
Keys,Tools,,1,1.5,ounce,,0,,
ID & Cards ,Tools,,1,0.5,ounce,,0,,
Sabre Bear Spray,Safety,,1,10,ounce,https://www.sabrered.com/bear-spray/frontiersman-7-9-ounce-bear-spray-with-belt-holster,40,,
Petzl Tikka Headlamp,Safety,,1,2.9,ounce,https://www.rei.com/product/203908/petzl-tikka-headlamp,34.95,,
Adventure Medical Kits Ultralight/Watertight .7 Medical ViewKit,Safety,,1,8.5,ounce,https://www.rei.com/product/695383/adventure-medical-kits-ultralightwatertight-7-medical-kit,33,,
Emergency Blanket,Safety,,1,2.5,ounce,https://www.rei.com/product/813512/sol-emergency-blanket,5,,
Waterproof Matches & Lighter,Safety,,1,1.2,ounce,,0,,
Glasses,Personal Hygiene,,1,0.8,ounce,,0,,
Contacts,Personal Hygiene,,1,0.4,ounce,,0,,
Eargasm Ear Plugs,Personal Hygiene,,1,0.5,ounce,https://eargasm.com/,40,,
Retainer,Personal Hygiene,,1,1,ounce,,0,,
Toothbrush & Toothpaste ,Personal Hygiene,,1,0.8,ounce,,5,,
IcyHot Lotion (Repackaged),Personal Hygiene,,1,0.7,ounce,,5,,
SPF-50 Sunscreen (Rebottled),Personal Hygiene,,1,1.7,ounce,https://www.amazon.com/Bare-Republic-Mineral-vanilla-coco-sunscreen/dp/B07R4C9SKP?ref_=ast_sto_dp,0,,
Deep Woods Bug Spray (Rebottled),Personal Hygiene,,1,1.5,ounce,https://www.amazon.com/OFF-Deep-Woods-Aerosol-Ounce/dp/B006ZGWH04/ref=sr_1_2_sspa?keywords=deep+woods&qid=1691087104&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,0,,
